,0,1,2,3,4,5,6,7,8,9,10,11,12
0,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
1,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,TRANSPORT_MODE,,,,,,
2,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
3,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
4,DECL,FREQ,INDICATORS,PRCCODE,,,,,,,,,
5,DECL,FREQ,INDICATORS,PRCCODE,,,,,,,,,
6,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
7,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
8,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
9,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
10,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,TRANSPORT_MODE,,,,,,
11,DECLARANT,ELIGIBILITY,FREQ,IMPORT_REGIME,INDICATORS,PARTNER,PRODUCT,STAT_REGIME,,,,,
12,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
13,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
14,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
15,DECLARANT,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,STAT_REGIME,,,,,,
16,FLOW,FREQ,INDICATORS,PARTNER,PRODUCT,REPORTER,,,,,,,
17,FREQ,GEO,INDICATORS,ITM_NEWA,OBS_FLAG,TIME,,,,,,,
18,FREQ,GEO,INDICATORS,ITM_NEWA,OBS_FLAG,TIME,UNIT,,,,,,
19,FREQ,GEO,INDICATORS,INDIC_AG,ITM_NEWA,OBS_FLAG,TIME,UNIT,,,,,
20,FREQ,GEO,INDICATORS,INDIC_AG,ITM_NEWA,OBS_FLAG,TIME,UNIT,,,,,
21,FREQ,GEO,INDICATORS,INDIC_AG,ITM_NEWA,OBS_FLAG,TIME,UNIT,,,,,
22,FREQ,GEO,INDICATORS,INDIC_AG,ITM_NEWA,OBS_FLAG,TIME,UNIT,,,,,
23,FREQ,GEO,INDICATORS,INDIC_AG,ITM_NEWA,OBS_FLAG,P_ADJ,TIME,UNIT,,,,
24,FREQ,GEO,INDICATORS,ITM_NEWA,OBS_FLAG,TIME,UNIT,,,,,,
25,FREQ,GEO,INDICATORS,INDIC_AG,ITM_NEWA,OBS_FLAG,TIME,UNIT,,,,,
26,FREQ,GEO,INDICATORS,ITM_NEWA,OBS_FLAG,TIME,UNIT,,,,,,
27,FREQ,GEO,INDICATORS,ITM_NEWA,OBS_FLAG,TIME,UNIT,,,,,,
28,FREQ,GEO,INDICATORS,ITM_NEWA,OBS_FLAG,TIME,,,,,,,
29,DECISION,ENTERPR,FIN_SOURCE,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,TIME,UNIT,,,
30,ENTERPR,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,REASON,TIME,UNIT,,,,
31,DECISION,ENTERPR,FIN_SOURCE,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,TIME,UNIT,,,
32,ENTERPR,FIN_SOURCE,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,REASON,TIME,UNIT,,,
33,DECISION,ENTERPR,FIN_SOURCE,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,TIME,UNIT,,,
34,ENTERPR,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,REASON,TIME,UNIT,,,,
35,CHANGE,ENTERPR,FREQ,GEO,INDICATORS,INDIC_BT,NACE_R2,OBS_FLAG,TIME,UNIT,,,
36,ENTERPR,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,REASON,TIME,UNIT,,,,
37,ENTERPR,FIN_TYP,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,TIME,UNIT,,,,
38,ENTERPR,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,TIME,UNIT,,,,,
39,ENTERPR,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,REASON,TIME,UNIT,,,,
40,ENTERPR,FIN_SOURCE,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,TIME,UNIT,,,,
41,ENTERPR,FIN_TYP,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,TIME,UNIT,,,,
42,ENTERPR,FREQ,GEO,INDICATORS,NACE_R2,OBS_FLAG,TIME,UNIT,,,,,
43,ENTERPR,FREQ,GEO,INDICATORS,LEG_FORM,NACE_R2,OBS_FLAG,TIME,UNIT,,,,
44,ENTERPR,FREQ,GEO,GUARANTORS,INDICATORS,NACE_R2,OBS_FLAG,TIME,UNIT,,,,
45,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
46,ANIMALS,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
47,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
48,FREQ,GEO,INDICATORS,NUTRIENT,OBS_FLAG,TIME,UNIT,,,,,,
49,FREQ,GEO,INDICATORS,INDIC_AG,OBS_FLAG,TIME,UNIT,,,,,,
50,FREQ,GEO,INDICATORS,OBS_FLAG,PESTICID,TIME,UNIT,,,,,,
51,FREQ,GEO,INDICATORS,NUTRIENT,OBS_FLAG,TIME,UNIT,,,,,,
52,FREQ,GEO,INDICATORS,OBS_FLAG,SUBST_CAT,TIME,UNIT,,,,,,
53,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,PESTICID,TIME,UNIT,,,,,
54,FREQ,GEO,INDICATORS,INDIC_AG,NUTRIENT,OBS_FLAG,TIME,,,,,,
